Author,Category,Title,Year,Role
ดร.ปกรณ์กิตติ์ ม่วงประสิทธิ์,TCI1,"ปกรณ์กิตติ์ ม่วงประสิทธิ์, ศิริณา จิตต์จรัส และอรอุษา ปุณยบุรณะ. (2564). ศาสตร์พระราชากับการพัฒนาการบริหารการศึกษาอย่างยั่งยืน. วารสารศึกษาศาสตร์ มหาวิทยาลัยศิลปากร, 18(2), 21-42.",2564 (2021),First Author
ดร.ปกรณ์กิตติ์ ม่วงประสิทธิ์,TCI1,The Scenario of Cooperation for Developing Local Education in the Context of New Normal Education and a Sustainable Society.,2566 (2023),EIC
ดร.ปกรณ์กิตติ์ ม่วงประสิทธิ์,TCI1,กิจกรรมการเรียนรู้แบบมีส่วนร่วมอย่างสร้างสรรค์เพื่อพัฒนาคุณภาพชีวิต ของกลุ่มคนพิการและผู้สูงอายุในตำบลดอนแก้ว อำเภอแม่ริม จังหวัดเชียงใหม่. ,2566 (2023),First Author
ดร.ปกรณ์กิตติ์ ม่วงประสิทธิ์,TCI1,การพัฒนารูปแบบการเรียนรู้สู่สังคมคุณธรรมสำหรับนักเรียนในพื้นที่นวัตกรรมการศึกษาเชียงใหม่,2567 (2024),First Author
ดร.รติรส จันทรสมดี,TCI2,Online participatory communication design for develop media creating a positive attitude toward persons with disabilities,2565 (2022),First Author
ดร.รติรส จันทรสมดี,TCI1,Problem and challenged of persons with disabilities and their caregivers in situation of COVID -19 pandemic : Qualitative research,2566 (2023),Corresponding Author
ดร.รติรส จันทรสมดี,Q1,A closer look at Thailand’s COVID-19 pandemic and its impact on the health and education of children with invisible disabilities,2567 (2024),EIC
ดร.รติรส จันทรสมดี,Q2,Developing a Policy Model to Support Family Caregivers of Dependent Older Adults in Bangkok,2567 (2024),0
ดร.รติรส จันทรสมดี,TCI1,Problems and needs of persons with disabilities during the COVID-19 pandemic: A survey research,2567 (2024),Corresponding Author
ดร.รติรส จันทรสมดี,International Conference,COVID-19 Pandemic and Its Impact on the Health and Education of Children with Invisible Disabilities in Thailand,2567 (2024),EIC
ดร.รติรส จันทรสมดี,Q4,The role of communication and information access for persons with disabilities during the COVID‑19 pandemic in Thailand,2568 (2025),Corresponding Author
ดร.รติรส จันทรสมดี,International Conference,Unveiling the Potential of a Critical Thinking Approach in Product Design Courses for Students with Hearing Impairment: A Qualitative Research.,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,Q2,Using Virtual Reality and Conversational AI to Enhance High School Students’ Intentions to Pursue Computer Science: Insights from the CS RMUTT Virtual Tour,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,Q3,Development of Low-Cost PLC Training Kit for Enhancing Industry-Relevant Skills and Certification: PLC-CertX,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,Q3,Conversational AI-Powered VR Development Model for Tourism Promotion in Thailand: Expert Assessment and Stakeholder Acceptance,2568 (2025),EIC
ดร.วิษณุ นิตยธรรมกุล,Q3,Development of Intelligent Advisory System with Cognitive Technology,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,Q4,Design of the System Architecture of Competency-Based MOOC Using Microlearning Objects to Facilitate Upskilling and Reskilling for Industrial Workforce: Digital MicroLearn,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,International Conference,The 3D-POD Model for AI-Driven Institutional Transformation and Graduate Employment Readiness in Thailand in Digital Era,2568 (2025),EIC
ดร.วิษณุ นิตยธรรมกุล,International Conference,Online Learner Achievement and Satisfaction on the ThaiMOOC Platform: A Case Study of Digital Media Creation on Online Social Networks,2568 (2025),EIC
ดร.วิษณุ นิตยธรรมกุล,International Conference,Components and Indicators of the Cyber Wellness Measurement Scale for Thai Citizens,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,International Conference,An LLM-Powered Virtual Assistant for Authoring Competency-Based Learning Objectives in Basic Education: A Proof-of-Concept Study,2568 (2025),Corresponding Author
ดร.วิษณุ นิตยธรรมกุล,Q4,"The Development of Mockumentary Short Film to Support Secondary School Students' Perceived Awareness, Empathy, and New Perspectives on Cyberbullying Toward LGBTQ+ Peers",2569 (2026),Corresponding Author
ดร.สุภชาญ ตรัยตรึงศ์สกุล,Q1,Developing a Graph-Paper Embosser for Visually Impaired Students Using User-Centered Design Approach,2569 (2026),First Author
ดร.สุภชาญ ตรัยตรึงศ์สกุล,Q1,A Survey of Graph-Based Assistive Technologies for Visually Impaired Students in Thailand,2569 (2026),First Author
พญ.วัชรา ริ้วไพบูลย์,Q1,UNav: An Infrastructure-Independent Vision-Based Navigation System for People with Blindness and Low Vision.,2565 (2022),EIC
